Sum of Age,Sum of CommuteDistance,CommuteMode,Dept,EduLevel,Count of EmpID,EmpType,Gender,Sum of Experience,haveOT,JobLevel,Sum of JobSatisfaction,MaritalStatus,Sum of NumCompanies,Sum of NumReports,Sum of PhysicalActivityHours,Sum of SleepHours,Sum of Stress,Sum of TeamSize,Sum of TrainingHoursPerYear,Sum of WLB,Sum of WorkEnv,Sum of Workload
51,25,Car,Finance,PhD,1,Part-Time,Female,26,FALSE,Lead,2,Married,9,7,3,7,1,20,63,3,4,2
46,21,Car,HR,Bachelor,1,Contract,Female,24,FALSE,Lead,4,Married,8,2,2,8,1,22,62,3,4,4
31,23,Car,HR,Bachelor,1,Contract,Female,9,FALSE,Senior,4,Married,3,3,4,7,1,24,44,3,5,5
36,22,Car,HR,Bachelor,1,Contract,Male,14,TRUE,Mid,2,Married,4,0,4,6,4,11,37,3,5,1
212,75,Car,HR,Bachelor,4,Full-Time,Female,52,FALSE,Lead,11,Married,40,16,7,26,5,100,226,12,9,11
75,39,Car,HR,Bachelor,2,Full-Time,Female,27,FALSE,Mid,8,Married,10,0,6,13,3,26,74,10,6,6
30,17,Car,HR,Bachelor,1,Full-Time,Female,8,FALSE,Mid,4,Single,2,0,3,7,3,12,34,1,5,2
92,49,Car,HR,Bachelor,2,Full-Time,Female,32,FALSE,Senior,4,Married,16,16,5,14,5,40,96,4,2,8
47,9,Car,HR,Bachelor,1,Full-Time,Female,25,TRUE,Lead,4,Married,8,7,3,7,1,30,62,4,2,1
31,12,Car,HR,Bachelor,1,Full-Time,Female,9,TRUE,Mid,5,Married,3,0,3,4,1,13,34,1,2,4
37,11,Car,HR,Bachelor,1,Full-Time,Female,15,TRUE,Senior,1,Married,5,7,2,6,2,19,48,4,1,2
22,5,Car,HR,Bachelor,1,Full-Time,Male,0,FALSE,Intern/Fresher,1,Single,0,0,2,8,5,24,10,1,3,2
53,12,Car,HR,Bachelor,1,Full-Time,Male,16,FALSE,Lead,5,Married,10,8,3,7,3,30,58,2,1,1
32,20,Car,HR,Bachelor,1,Full-Time,Male,10,FALSE,Mid,4,Divorced,3,0,2,8,1,15,35,1,5,2
77,18,Car,HR,Bachelor,2,Full-Time,Male,26,FALSE,Mid,6,Married,10,0,5,14,2,27,74,5,4,7
27,17,Car,HR,Bachelor,1,Full-Time,Male,5,TRUE,Junior,4,Single,1,0,1,9,4,9,22,2,5,2
44,19,Car,HR,Bachelor,1,Full-Time,Male,2,TRUE,Senior,1,Single,7,5,1,8,1,17,41,1,1,2
75,21,Car,HR,Bachelor,2,Full-Time,Other,15,FALSE,Mid,8,Single,10,0,4,13,6,25,67,5,7,4
27,26,Car,HR,Bachelor,1,Full-Time,Other,5,TRUE,Senior,1,Single,1,8,0,6,1,22,42,1,3,5
29,17,Car,HR,Bachelor,1,Part-Time,Female,7,FALSE,Junior,5,Single,2,0,1,5,1,8,24,1,5,1
36,9,Car,HR,Bachelor,1,Part-Time,Female,14,FALSE,Mid,4,Married,4,0,3,7,1,12,37,2,2,3
26,19,Car,HR,Bachelor,1,Part-Time,Female,4,FALSE,Senior,4,Single,1,8,1,8,1,21,42,2,4,5
36,12,Car,HR,Bachelor,1,Part-Time,Male,3,FALSE,Mid,4,Single,4,0,2,5,3,10,32,5,3,3
24,9,Car,HR,High School,1,Full-Time,Female,2,FALSE,Junior,4,Single,0,0,1,7,4,9,21,5,5,3
23,17,Car,HR,High School,1,Full-Time,Male,1,FALSE,Junior,4,Single,0,0,2,8,2,7,20,3,2,5
30,22,Car,HR,Master,1,Full-Time,Female,8,FALSE,Senior,4,Married,2,7,2,5,2,21,44,1,5,3
30,18,Car,HR,Master,1,Full-Time,Female,5,FALSE,Senior,3,Single,2,3,2,7,1,18,42,5,2,5
51,24,Car,HR,Master,1,Full-Time,Female,24,TRUE,Lead,4,Divorced,9,6,2,7,1,22,62,5,3,4
34,8,Car,HR,Master,1,Full-Time,Female,12,TRUE,Senior,3,Married,4,4,0,7,1,16,46,2,3,5
36,25,Car,HR,Master,1,Full-Time,Male,14,FALSE,Mid,3,Married,4,0,2,9,1,15,37,1,3,4
25,9,Car,HR,Master,1,Full-Time,Male,3,FALSE,Mid,3,Single,1,0,2,6,1,10,32,5,4,5
94,36,Car,HR,Master,2,Full-Time,Male,37,FALSE,Senior,8,Married,16,10,3,15,3,34,99,8,9,9
31,16,Car,HR,Master,1,Full-Time,Other,9,TRUE,Senior,3,Single,3,6,1,6,1,24,44,2,1,5
52,29,Car,HR,Master,1,Part-Time,Female,13,FALSE,Lead,3,Married,10,8,2,6,1,30,56,4,5,3
50,19,Car,HR,PhD,1,Contract,Male,21,FALSE,Lead,4,Divorced,9,7,3,5,3,29,60,5,5,2
58,13,Car,HR,PhD,1,Contract,Male,25,FALSE,Lead,4,Married,12,9,3,6,3,30,62,5,2,1
26,15,Car,IT,Bachelor,1,Contract,Female,3,FALSE,Mid,5,Single,1,0,2,8,1,14,32,4,4,2
54,37,Car,IT,Bachelor,2,Contract,Female,9,TRUE,Mid,9,Single,3,0,4,17,3,21,65,8,6,3
26,23,Car,IT,Bachelor,1,Contract,Female,4,TRUE,Senior,1,Single,1,6,2,6,3,23,42,1,2,3
26,10,Car,IT,Bachelor,1,Contract,Male,4,FALSE,Junior,4,Single,1,0,4,6,1,6,22,3,1,1
49,11,Car,IT,Bachelor,1,Contract,Male,22,FALSE,Senior,4,Single,9,7,2,8,1,22,51,1,4,1
22,21,Car,IT,Bachelor,1,Contract,Male,0,TRUE,Intern/Fresher,4,Single,0,0,4,8,2,25,10,4,4,5
24,8,Car,IT,Bachelor,1,Contract,Male,2,TRUE,Junior,2,Single,0,0,1,8,1,5,21,2,5,2
103,40,Car,IT,Bachelor,2,Contract,Male,28,TRUE,Lead,5,Married,19,15,3,12,4,46,114,8,8,8
155,77,Car,IT,Bachelor,4,Contract,Male,67,TRUE,Mid,16,Married,20,0,8,27,4,53,154,14,11,5
39,17,Car,IT,Bachelor,1,Contract,Male,17,TRUE,Mid,4,Single,5,0,0,7,2,13,38,5,4,5
136,48,Car,IT,Bachelor,3,Contract,Male,30,TRUE,Senior,9,Married,23,18,7,22,6,55,135,11,10,8
33,15,Car,IT,Bachelor,1,Contract,Male,11,TRUE,Senior,2,Single,3,5,1,8,1,15,46,2,2,2
27,5,Car,IT,Bachelor,1,Full-Time,Female,5,FALSE,Junior,5,Married,1,0,2,8,5,7,22,4,3,2
38,15,Car,IT,Bachelor,1,Full-Time,Female,16,FALSE,Mid,5,Married,5,0,1,7,3,13,38,3,2,3
32,26,Car,IT,Bachelor,1,Full-Time,Female,8,FALSE,Mid,4,Single,3,0,1,6,2,12,34,2,3,2
49,18,Car,IT,Bachelor,1,Full-Time,Female,16,FALSE,Senior,5,Married,9,5,2,6,1,19,48,5,3,1
26,18,Car,IT,Bachelor,1,Full-Time,Female,4,TRUE,Junior,3,Married,1,0,2,9,2,9,22,1,2,2
51,31,Car,IT,Bachelor,2,Full-Time,Female,7,TRUE,Junior,5,Single,2,0,6,15,4,11,44,6,5,3
97,20,Car,IT,Bachelor,2,Full-Time,Female,48,TRUE,Lead,5,Divorced,17,4,7,13,2,56,124,2,7,3
47,23,Car,IT,Bachelor,1,Full-Time,Female,24,TRUE,Lead,1,Married,8,7,3,9,4,28,62,1,2,5
250,127,Car,IT,Bachelor,6,Full-Time,Female,84,TRUE,Mid,18,Married,37,0,10,38,11,78,222,18,15,16
80,41,Car,IT,Bachelor,3,Full-Time,Female,14,TRUE,Mid,7,Single,3,0,8,21,5,35,97,12,3,7
199,97,Car,IT,Bachelor,5,Full-Time,Female,65,TRUE,Senior,15,Married,29,21,8,36,8,101,232,14,16,18
155,81,Car,IT,Bachelor,5,Full-Time,Female,38,TRUE,Senior,15,Single,13,33,13,39,9,93,219,18,21,13
45,24,Car,IT,Bachelor,2,Full-Time,Male,1,FALSE,Intern/Fresher,6,Single,0,0,6,15,7,50,20,10,6,3
27,12,Car,IT,Bachelor,1,Full-Time,Male,5,FALSE,Junior,4,Single,1,0,2,6,1,5,22,1,4,2
167,54,Car,IT,Bachelor,3,Full-Time,Male,53,FALSE,Lead,13,Divorced,32,12,5,19,4,71,176,9,11,8
44,8,Car,IT,Bachelor,1,Full-Time,Male,22,FALSE,Lead,5,Married,7,6,2,8,1,23,61,1,5,3
39,8,Car,IT,Bachelor,1,Full-Time,Male,17,FALSE,Mid,4,Divorced,5,0,2,6,1,11,38,5,5,4
371,161,Car,IT,Bachelor,10,Full-Time,Male,82,FALSE,Mid,38,Married,46,0,16,72,15,122,342,38,32,32
85,49,Car,IT,Bachelor,3,Full-Time,Male,18,FALSE,Mid,10,Single,5,0,5,20,4,41,99,9,11,12
167,72,Car,IT,Bachelor,4,Full-Time,Male,52,FALSE,Senior,14,Married,24,24,10,29,7,79,186,18,14,14
76,30,Car,IT,Bachelor,2,Full-Time,Male,30,FALSE,Senior,9,Single,10,7,3,15,3,48,95,6,3,7
90,51,Car,IT,Bachelor,4,Full-Time,Male,2,TRUE,Intern/Fresher,12,Single,0,0,11,27,8,92,40,11,16,15
26,16,Car,IT,Bachelor,1,Full-Time,Male,4,TRUE,Junior,4,Married,1,0,1,7,1,8,22,4,2,4
463,309,Car,IT,Bachelor,18,Full-Time,Male,67,TRUE,Junior,51,Single,18,0,36,130,28,146,395,50,59,68
290,110,Car,IT,Bachelor,6,Full-Time,Male,89,TRUE,Lead,15,Married,51,38,12,43,11,144,343,17,16,24
42,17,Car,IT,Bachelor,1,Full-Time,Male,8,TRUE,Lead,4,Single,6,2,2,7,1,25,54,5,5,3
33,28,Car,IT,Bachelor,1,Full-Time,Male,11,TRUE,Mid,4,Divorced,3,0,4,7,1,14,36,5,3,4
550,231,Car,IT,Bachelor,15,Full-Time,Male,176,TRUE,Mid,54,Married,71,0,29,108,27,190,539,42,48,49
349,172,Car,IT,Bachelor,11,Full-Time,Male,58,TRUE,Mid,47,Single,31,0,23,85,14,139,359,42,37,35
96,13,Car,IT,Bachelor,2,Full-Time,Male,31,TRUE,Senior,5,Divorced,17,9,6,13,3,39,96,4,6,7
894,378,Car,IT,Bachelor,22,Full-Time,Male,260,TRUE,Senior,65,Married,130,117,49,161,38,440,1007,72,81,67
166,72,Car,IT,Bachelor,5,Full-Time,Male,36,TRUE,Senior,17,Single,17,26,11,37,6,97,218,14,20,15
23,28,Car,IT,Bachelor,1,Full-Time,Other,1,FALSE,Intern/Fresher,1,Single,0,0,1,5,2,23,10,4,2,4
60,6,Car,IT,Bachelor,1,Full-Time,Other,28,FALSE,Senior,5,Single,12,9,2,8,1,16,54,2,4,1
23,15,Car,IT,Bachelor,1,Full-Time,Other,1,TRUE,Intern/Fresher,1,Single,0,0,2,7,4,21,10,3,1,2
25,13,Car,IT,Bachelor,1,Full-Time,Other,3,TRUE,Junior,5,Single,1,0,1,8,3,10,22,5,3,5
68,31,Car,IT,Bachelor,2,Full-Time,Other,14,TRUE,Mid,7,Single,7,0,2,15,5,26,66,7,9,4
209,86,Car,IT,Bachelor,5,Full-Time,Other,65,TRUE,Senior,16,Single,30,26,7,38,11,87,232,11,14,8
28,25,Car,IT,Bachelor,1,Part-Time,Female,6,FALSE,Junior,5,Single,2,0,2,10,1,9,23,4,4,3
40,8,Car,IT,Bachelor,1,Part-Time,Female,9,FALSE,Mid,2,Married,6,0,2,7,2,10,34,3,4,1
38,14,Car,IT,Bachelor,1,Part-Time,Female,1,FALSE,Senior,3,Married,5,1,3,8,2,24,40,3,3,5
31,24,Car,IT,Bachelor,1,Part-Time,Female,9,FALSE,Senior,5,Single,3,3,1,9,1,22,44,1,3,4
54,14,Car,IT,Bachelor,1,Part-Time,Female,25,TRUE,Lead,1,Married,10,7,2,5,3,22,62,4,2,3
42,19,Car,IT,Bachelor,1,Part-Time,Female,12,TRUE,Mid,4,Married,6,0,2,7,1,14,36,1,4,2
142,50,Car,IT,Bachelor,3,Part-Time,Female,49,TRUE,Senior,7,Married,24,10,6,20,3,61,145,11,6,11
26,9,Car,IT,Bachelor,1,Part-Time,Male,4,FALSE,Junior,3,Married,1,0,2,5,1,7,22,3,5,3
23,19,Car,IT,Bachelor,1,Part-Time,Male,1,FALSE,Junior,4,Single,0,0,2,8,2,9,20,3,1,2
40,29,Car,IT,Bachelor,1,Part-Time,Male,18,FALSE,Lead,4,Divorced,6,9,2,8,3,21,59,5,4,2
40,22,Car,IT,Bachelor,1,Part-Time,Male,16,FALSE,Mid,4,Married,6,0,3,6,1,12,38,3,4,2
53,39,Car,IT,Bachelor,2,Part-Time,Male,5,FALSE,Mid,10,Single,2,0,5,14,2,27,63,10,7,6
126,83,Car,IT,Bachelor,4,Part-Time,Male,33,FALSE,Senior,12,Married,11,23,10,30,7,70,177,8,13,14
22,8,Car,IT,Bachelor,1,Part-Time,Male,0,TRUE,Intern/Fresher,4,Single,0,0,3,7,1,22,10,3,5,3
75,44,Car,IT,Bachelor,3,Part-Time,Male,9,TRUE,Junior,11,Single,1,0,4,22,3,26,64,12,9,7
173,84,Car,IT,Bachelor,4,Part-Time,Male,76,TRUE,Lead,13,Married,27,27,12,30,11,108,238,11,14,10
79,41,Car,IT,Bachelor,2,Part-Time,Male,9,TRUE,Mid,9,Divorced,11,0,6,15,2,27,64,5,7,6
159,83,Car,IT,Bachelor,4,Part-Time,Male,39,TRUE,Mid,12,Married,22,0,12,29,8,53,139,18,11,16
73,62,Car,IT,Bachelor,3,Part-Time,Male,7,TRUE,Mid,9,Single,1,0,5,24,6,38,94,9,6,8
83,18,Car,IT,Bachelor,2,Part-Time,Male,17,TRUE,Senior,2,Divorced,12,14,3,15,2,39,88,6,2,10
243,100,Car,IT,Bachelor,6,Part-Time,Male,50,TRUE,Senior,15,Married,36,23,13,42,8,110,265,19,18,19
67,37,Car,IT,Bachelor,2,Part-Time,Male,23,TRUE,Senior,7,Single,7,12,4,16,2,36,91,9,7,7
36,18,Car,IT,Bachelor,1,Part-Time,Other,14,FALSE,Senior,4,Single,4,8,2,7,1,23,47,5,3,3
45,16,Car,IT,Bachelor,1,Part-Time,Other,22,TRUE,Mid,1,Single,7,0,1,7,4,10,41,1,4,3
22,22,Car,IT,High School,1,Contract,Male,0,TRUE,Intern/Fresher,5,Single,0,0,2,6,2,27,10,1,4,3
29,24,Car,IT,High School,1,Contract,Male,7,TRUE,Junior,1,Single,2,0,3,5,1,10,24,2,1,3
74,59,Car,IT,High School,3,Full-Time,Female,4,TRUE,Junior,6,Single,2,0,9,24,7,22,61,8,7,12
23,28,Car,IT,High School,1,Full-Time,Male,1,FALSE,Intern/Fresher,4,Single,0,0,4,6,1,25,10,2,4,4
46,47,Car,IT,High School,2,Full-Time,Male,2,FALSE,Junior,5,Single,0,0,4,16,5,12,41,3,5,8
135,102,Car,IT,High School,6,Full-Time,Male,3,TRUE,Intern/Fresher,23,Single,0,0,13,41,10,151,60,20,22,21
70,43,Car,IT,High School,3,Full-Time,Male,4,TRUE,Junior,13,Single,0,0,8,21,3,23,61,13,11,13
23,26,Car,IT,High School,1,Full-Time,Other,1,TRUE,Intern/Fresher,4,Single,0,0,2,7,3,27,10,5,4,2
23,22,Car,IT,High School,1,Part-Time,Female,1,FALSE,Intern/Fresher,3,Single,0,0,0,6,1,22,10,1,2,2
22,16,Car,IT,High School,1,Part-Time,Male,0,FALSE,Intern/Fresher,3,Single,0,0,3,7,1,28,10,1,4,2
22,24,Car,IT,High School,1,Part-Time,Male,0,TRUE,Intern/Fresher,3,Single,0,0,2,8,1,23,10,2,2,5
51,40,Car,IT,High School,2,Part-Time,Male,7,TRUE,Junior,8,Single,2,0,4,16,2,16,43,6,7,7
24,13,Car,IT,High School,1,Part-Time,Other,2,TRUE,Junior,2,Single,0,0,3,7,1,8,21,3,4,3
47,28,Car,IT,Master,1,Contract,Female,8,TRUE,Lead,1,Married,8,8,2,7,1,21,54,3,1,2
80,40,Car,IT,Master,2,Contract,Male,12,TRUE,Mid,7,Married,11,0,4,14,3,25,66,8,2,4
39,11,Car,IT,Master,1,Contract,Male,17,TRUE,Senior,3,Married,5,2,1,9,2,17,48,3,4,3
57,28,Car,IT,Master,1,Full-Time,Female,27,FALSE,Senior,5,Divorced,11,4,2,6,1,21,54,3,5,5
39,14,Car,IT,Master,1,Full-Time,Female,15,TRUE,Mid,4,Married,5,0,3,8,4,13,38,4,5,3
37,25,Car,IT,Master,1,Full-Time,Female,11,TRUE,Senior,4,Single,5,6,2,10,1,22,46,5,2,4
62,33,Car,IT,Master,2,Full-Time,Male,12,FALSE,Senior,8,Married,6,10,6,11,4,39,86,9,7,5
40,12,Car,IT,Master,1,Full-Time,Male,2,TRUE,Lead,1,Divorced,6,4,2,7,5,22,51,2,3,4
561,218,Car,IT,Master,11,Full-Time,Male,163,TRUE,Lead,43,Married,102,57,24,75,19,265,630,30,37,27
47,24,Car,IT,Master,1,Full-Time,Male,11,TRUE,Lead,5,Single,8,1,1,6,1,20,56,5,1,1
37,23,Car,IT,Master,1,Full-Time,Male,2,TRUE,Mid,4,Divorced,5,0,1,8,2,11,31,1,3,2
72,35,Car,IT,Master,2,Full-Time,Male,13,TRUE,Mid,8,Married,9,0,4,15,3,23,67,5,4,3
291,146,Car,IT,Master,7,Full-Time,Male,71,TRUE,Senior,31,Married,43,36,14,52,10,148,316,29,23,17
74,26,Car,IT,Master,2,Full-Time,Male,20,TRUE,Senior,8,Single,9,16,7,13,3,40,90,5,3,6
40,23,Car,IT,Master,1,Full-Time,Other,4,TRUE,Senior,5,Single,6,6,1,5,1,23,42,2,1,2
53,19,Car,IT,Master,1,Part-Time,Female,1,FALSE,Lead,3,Married,10,4,1,7,2,28,50,1,4,5
30,29,Car,IT,Master,1,Part-Time,Female,7,FALSE,Senior,5,Married,2,8,2,9,2,19,44,2,2,5
50,16,Car,IT,Master,1,Part-Time,Male,25,TRUE,Lead,5,Married,9,1,3,6,1,29,62,5,3,5
66,26,Car,IT,Master,2,Part-Time,Male,8,TRUE,Senior,8,Married,7,16,3,16,6,37,84,8,6,4
34,7,Car,IT,Master,1,Part-Time,Male,3,TRUE,Senior,5,Single,4,2,1,8,3,23,42,5,3,5
57,28,Car,IT,PhD,1,Contract,Male,27,FALSE,Lead,4,Divorced,11,6,0,8,3,22,64,4,2,1
42,18,Car,IT,PhD,1,Full-Time,Female,2,FALSE,Lead,1,Married,6,4,1,8,5,28,51,2,2,3
42,29,Car,IT,PhD,1,Full-Time,Female,20,TRUE,Lead,1,Married,6,3,1,7,1,28,60,1,5,5
51,17,Car,IT,PhD,1,Full-Time,Male,15,TRUE,Lead,3,Divorced,9,3,2,7,1,22,58,3,1,3
46,19,Car,IT,PhD,1,Full-Time,Male,13,TRUE,Lead,4,Married,8,2,2,6,1,23,56,4,3,4
53,28,Car,IT,PhD,1,Full-Time,Other,4,TRUE,Lead,3,Single,10,2,3,7,2,23,52,1,1,2
140,37,Car,IT,PhD,3,Part-Time,Male,20,TRUE,Lead,10,Married,23,15,5,21,8,84,160,8,11,8
50,18,Car,IT,PhD,1,Part-Time,Other,28,FALSE,Lead,4,Single,9,6,2,7,5,26,64,5,4,3
26,14,Car,Legal,Bachelor,1,Contract,Female,4,FALSE,Junior,3,Married,1,0,1,8,1,6,22,1,5,4
82,28,Car,Legal,Bachelor,2,Contract,Female,29,FALSE,Senior,7,Married,12,14,2,16,2,36,95,4,10,5
36,7,Car,Legal,Bachelor,1,Contract,Female,14,FALSE,Senior,4,Single,4,8,2,6,2,24,47,2,3,2
22,18,Car,Legal,Bachelor,1,Contract,Male,0,FALSE,Intern/Fresher,4,Single,0,0,2,7,1,29,10,1,5,1
25,24,Car,Legal,Bachelor,1,Contract,Male,3,TRUE,Junior,1,Single,1,0,3,8,3,5,22,4,2,4
23,25,Car,Legal,Bachelor,1,Full-Time,Female,1,FALSE,Intern/Fresher,4,Single,0,0,2,7,1,27,10,1,2,1
181,112,Car,Legal,Bachelor,7,Full-Time,Female,27,FALSE,Junior,25,Single,7,0,15,45,10,46,153,21,23,22
82,50,Car,Legal,Bachelor,2,Full-Time,Female,29,FALSE,Lead,8,Married,12,6,6,16,2,51,114,5,6,5
172,105,Car,Legal,Bachelor,5,Full-Time,Female,56,FALSE,Mid,18,Married,20,0,9,36,8,62,179,21,13,19
24,6,Car,Legal,Bachelor,1,Full-Time,Female,2,FALSE,Mid,3,Single,0,0,2,9,2,11,31,5,5,2
108,57,Car,Legal,Bachelor,2,Full-Time,Female,26,FALSE,Senior,6,Married,21,5,3,9,4,43,93,6,8,5
164,78,Car,Legal,Bachelor,5,Full-Time,Female,50,FALSE,Senior,19,Single,16,21,10,36,13,101,225,14,14,11
37,21,Car,Legal,Bachelor,1,Full-Time,Female,12,TRUE,Mid,4,Single,5,0,3,8,4,13,36,2,4,1
82,22,Car,Legal,Bachelor,2,Full-Time,Female,34,TRUE,Senior,3,Married,12,15,5,14,5,40,98,6,10,4
49,21,Car,Legal,Bachelor,1,Full-Time,Female,1,TRUE,Senior,5,Single,9,4,3,5,3,17,40,4,5,3
75,54,Car,Legal,Bachelor,3,Full-Time,Male,9,FALSE,Junior,12,Single,1,0,6,19,7,20,64,8,10,4
42,10,Car,Legal,Bachelor,1,Full-Time,Male,20,FALSE,Lead,4,Single,6,5,2,9,2,30,60,1,5,4
220,108,Car,Legal,Bachelor,6,Full-Time,Male,69,FALSE,Mid,15,Married,27,0,10,43,7,80,216,14,15,23
138,71,Car,Legal,Bachelor,4,Full-Time,Male,20,FALSE,Senior,16,Married,15,11,8,28,7,80,170,12,16,15
67,37,Car,Legal,Bachelor,2,Full-Time,Male,21,FALSE,Senior,5,Single,7,6,4,14,2,41,90,5,4,8
22,18,Car,Legal,Bachelor,1,Full-Time,Male,0,TRUE,Intern/Fresher,2,Single,0,0,2,8,2,28,10,5,1,3
27,14,Car,Legal,Bachelor,1,Full-Time,Male,5,TRUE,Junior,4,Single,1,0,3,6,1,9,22,5,5,5
40,14,Car,Legal,Bachelor,1,Full-Time,Male,18,TRUE,Lead,5,Single,6,4,3,7,1,21,59,1,1,1
25,26,Car,Legal,Bachelor,1,Full-Time,Male,3,TRUE,Mid,4,Single,1,0,2,8,2,15,32,5,5,5
57,36,Car,Legal,Bachelor,2,Full-Time,Other,13,FALSE,Junior,8,Single,4,0,6,13,2,17,47,6,9,7
102,14,Car,Legal,Bachelor,2,Full-Time,Other,36,FALSE,Lead,9,Single,19,16,5,16,6,51,118,7,9,3
35,7,Car,Legal,Bachelor,1,Full-Time,Other,13,FALSE,Mid,4,Single,4,0,3,7,2,12,36,5,2,3
71,31,Car,Legal,Bachelor,2,Full-Time,Other,27,FALSE,Senior,8,Single,9,12,6,14,2,37,94,9,3,6
27,29,Car,Legal,Bachelor,1,Part-Time,Female,4,FALSE,Junior,3,Single,1,0,2,8,5,5,22,5,3,5
38,27,Car,Legal,Bachelor,1,Part-Time,Female,9,FALSE,Senior,2,Married,5,9,1,6,1,15,44,5,3,3
22,6,Car,Legal,Bachelor,1,Part-Time,Male,0,FALSE,Intern/Fresher,2,Single,0,0,2,8,1,30,10,3,5,3
28,11,Car,Legal,Bachelor,1,Part-Time,Male,6,FALSE,Junior,4,Single,2,0,1,8,1,8,23,4,2,5
53,18,Car,Legal,Bachelor,1,Part-Time,Male,25,FALSE,Lead,2,Divorced,10,5,2,6,1,22,62,4,4,3
30,26,Car,Legal,Bachelor,1,Part-Time,Male,8,FALSE,Mid,4,Married,2,0,3,6,1,14,34,4,3,1
71,33,Car,Legal,Bachelor,2,Part-Time,Male,27,FALSE,Mid,5,Single,9,0,3,14,5,26,73,4,2,4
59,13,Car,Legal,Bachelor,1,Part-Time,Male,10,FALSE,Senior,4,Married,12,5,1,9,3,15,45,5,3,4
66,19,Car,Legal,Bachelor,2,Part-Time,Male,18,FALSE,Senior,8,Single,7,8,5,16,2,45,88,6,6,6
28,9,Car,Legal,Bachelor,1,Part-Time,Other,6,FALSE,Mid,5,Single,2,0,2,6,2,12,33,2,4,2
22,11,Car,Legal,High School,1,Full-Time,Female,0,FALSE,Intern/Fresher,1,Single,0,0,3,6,3,28,10,3,2,5
24,23,Car,Legal,High School,1,Full-Time,Female,1,FALSE,Junior,4,Married,0,0,2,6,1,9,20,3,3,5
50,35,Car,Legal,High School,2,Full-Time,Female,6,FALSE,Junior,7,Single,1,0,1,15,2,10,43,2,10,7
23,17,Car,Legal,High School,1,Full-Time,Male,1,FALSE,Intern/Fresher,4,Single,0,0,2,8,4,21,10,1,3,1
47,38,Car,Legal,High School,2,Full-Time,Male,3,FALSE,Junior,2,Single,0,0,5,17,6,11,41,3,2,10
60,26,Car,Legal,Master,1,Full-Time,Female,4,FALSE,Lead,4,Married,12,8,2,8,2,20,52,5,3,2
97,58,Car,Legal,Master,3,Full-Time,Female,24,FALSE,Senior,12,Married,10,16,7,22,6,55,132,6,12,6
98,50,Car,Legal,Master,2,Full-Time,Male,16,FALSE,Lead,8,Married,17,9,6,14,5,45,108,5,7,3
83,42,Car,Legal,Master,2,Full-Time,Male,25,FALSE,Senior,6,Married,12,13,5,16,2,44,93,2,6,9
33,19,Car,Legal,Master,1,Full-Time,Other,11,FALSE,Mid,3,Single,3,0,2,6,2,10,36,3,3,1
129,63,Car,Legal,Master,3,Full-Time,Other,46,FALSE,Senior,11,Single,20,15,7,20,5,57,143,10,12,10
47,13,Car,Legal,Master,1,Part-Time,Female,21,FALSE,Lead,5,Single,8,1,3,6,1,22,60,1,4,5
29,10,Car,Legal,Master,1,Part-Time,Female,7,FALSE,Mid,3,Single,2,0,4,7,1,15,34,4,2,5
48,5,Car,Legal,Master,1,Part-Time,Male,9,FALSE,Mid,4,Divorced,8,0,0,8,1,15,34,5,2,1
94,39,Car,Legal,Master,2,Part-Time,Male,29,FALSE,Senior,8,Married,16,13,3,15,2,39,94,7,5,5
36,10,Car,Legal,Master,1,Part-Time,Other,14,FALSE,Senior,4,Single,4,3,2,6,1,19,47,5,2,3
40,19,Car,Legal,PhD,1,Full-Time,Male,14,FALSE,Lead,1,Divorced,6,4,2,8,4,23,57,3,1,3
40,21,Car,Marketing,Bachelor,1,Contract,Female,4,FALSE,Lead,4,Married,6,7,3,6,2,27,52,5,4,4
39,22,Car,Marketing,Bachelor,1,Contract,Female,10,FALSE,Mid,4,Single,5,0,2,6,1,12,35,3,5,3
53,29,Car,Marketing,Bachelor,1,Contract,Female,5,FALSE,Senior,4,Married,10,4,3,6,2,19,42,5,4,5
43,8,Car,Marketing,Bachelor,1,Contract,Female,13,FALSE,Senior,4,Single,7,9,2,6,1,21,46,1,3,3
36,14,Car,Marketing,Bachelor,1,Contract,Female,4,TRUE,Mid,5,Single,4,0,3,8,2,12,32,3,3,4
24,17,Car,Marketing,Bachelor,1,Contract,Male,2,FALSE,Junior,4,Single,0,0,3,6,1,5,21,5,4,4
37,26,Car,Marketing,Bachelor,1,Contract,Male,15,FALSE,Senior,4,Single,5,2,2,8,1,16,48,3,5,4
22,6,Car,Marketing,Bachelor,1,Full-Time,Female,0,FALSE,Intern/Fresher,4,Single,0,0,2,8,2,21,10,1,5,1
53,29,Car,Marketing,Bachelor,2,Full-Time,Female,9,FALSE,Junior,6,Married,2,0,5,15,5,15,45,8,4,4
78,24,Car,Marketing,Bachelor,3,Full-Time,Female,12,FALSE,Junior,6,Single,3,0,9,21,3,23,65,6,8,12
54,28,Car,Marketing,Bachelor,1,Full-Time,Female,18,FALSE,Lead,5,Divorced,10,4,3,6,1,27,59,1,5,4
162,46,Car,Marketing,Bachelor,3,Full-Time,Female,24,FALSE,Lead,13,Married,31,20,8,19,5,73,162,11,11,8
48,27,Car,Marketing,Bachelor,1,Full-Time,Female,14,FALSE,Mid,4,Divorced,8,0,1,6,1,15,37,5,4,5
